rater_id	input_file	rating	time_sec	timestamp	artifacts	comments
oe	sub-NDARAW179AYF_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2	298.191	2024-04-18 06:34:51	noise-local, wrap-around, processing	n/a
oe	sub-NDARCP642KML_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.35	84.123	2024-04-18 06:36:56	inu	n/a
oe	sub-NDARCU891YET_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.4	56.816	2024-04-18 06:38:06	head-motion	n/a
oe	sub-NDARCV944JA6_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.2	89.232	2024-04-18 06:39:44	wrap-around, processing	n/a
oe	sub-NDARDH086ZKK_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.9	72.77	2024-04-18 06:41:25	processing	n/a
oe	sub-NDARDT181RP4_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.9	63.524	2024-04-18 06:42:36	head-motion	n/a
oe	sub-NDARDX173WLD_ses-HBNsiteCUNY_acq-64dir_dwi.nii.gz	3.05	61.393	2024-04-18 06:43:54	n/a	n/a
oe	sub-NDARED628HMQ_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.65	59.152	2024-04-18 06:44:58	processing	n/a
oe	sub-NDAREM565ADW_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1.6	54.264	2024-04-18 06:46:06	n/a	n/a
oe	sub-NDARFV061AR5_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1.4	72.392	2024-04-18 06:47:42	wrap-around, processing	n/a
oe	sub-NDARGK943RL3_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	3.1	56.323	2024-04-18 06:48:45	processing	n/a
oe	sub-NDARGM196JMM_ses-HBNsiteCBIC_acq-64dirVARIANTObliquity_dwi.nii.gz	2.3	38.311	2024-04-18 06:49:31	n/a	n/a
oe	sub-NDARGM421YWQ_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.35	56.632	2024-04-18 06:50:39	wrap-around, processing	n/a
oe	sub-NDARHZ500ZNT_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	3	41.4	2024-04-18 06:51:28	processing	n/a
oe	sub-NDARJB366HYJ_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.35	29.856	2024-04-18 06:52:05	n/a	n/a
oe	sub-NDARJM036PVX_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.7	138.63	2024-04-18 06:54:57	uncategorized	n/a
oe	sub-NDARJR687LGX_ses-HBNsiteSI_acq-64dir_dwi.nii.gz	2.8	47.922	2024-04-18 06:56:11	processing	n/a
oe	sub-NDARKX528PH3_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.55	31.552	2024-04-18 06:56:52	n/a	n/a
oe	sub-NDARMU053YEU_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.4	29.309	2024-04-18 07:20:26	n/a	n/a
oe	sub-NDARMV822KWR_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1.1	37.418	2024-04-18 07:21:28	uncategorized	n/a
oe	sub-NDARMW551YA0_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	3	49.422	2024-04-18 07:22:25	n/a	n/a
oe	sub-NDARNV694EMG_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.2	40.349	2024-04-18 07:23:19	processing, uncategorized	n/a
oe	sub-NDARPK237YHD_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.9	28.303	2024-04-18 07:23:55	n/a	n/a
oe	sub-NDARPK237YHD_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.9	28.303	2024-04-18 07:23:56	n/a	n/a
oe	sub-NDARRP801AX1_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.75	32.111	2024-04-18 07:24:35	n/a	n/a
oe	sub-NDARRW680PHD_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1	29.332	2024-04-18 07:28:16	n/a	n/a
