bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-NDARAN262WK6_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1782	0.059	0.0543	0.007	1.1864	0.5825	0.6036	0.0	0.0	245.4444	158.76	49.0	6.2761	128	99.2248062015504	0.3244	53.3737	11.9117	1.6508	2.7	3.04	3.04	1.07	0.69	61.29	256.74	226.72	303.17	56.252	5.9304	18.0582	6.0	557645.0	1.0	76.0	35.3185	5.1558	80.0605	180.1447	166.0	221107.0	47.0	351.0	95.8208	5.4817	78.5779	179.3422	165.0	213700.0	49.0	346.0	94.2316
sub-NDARAW179AYF_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0447	0.0134	0.0108	0.0011	2.8483	0.7037	0.5882	0.0	0.0	27.88	353.44	203.0625	2.5033	128	99.2248062015504	0.6849	53.3737	12.5123	1.6508	3.13	3.22	3.22	1.81	0.85	77.48	468.97	279.52	493.1	199.8177	4.4478	13.178	5.0	524995.0	1.0	58.0	28.6461	7.4137	108.23	282.3403	255.0	253757.0	114.0	540.0	144.2656	9.7798	80.0605	235.9237	218.0	125139.0	107.0	424.0	108.0274
sub-NDARBK669XJQ_ses-HBNsiteSI_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0863	0.0369	0.0348	0.0058	2.5138	1.0961	0.8335	0.0	0.0	-0.7334	11.3344	7.1111	2.8095	128	99.2248062015504	0.7583	34.0999	10.8759	9.9045	5.57	4.28	4.28	3.27	1.71	60.6	408.23	397.02	337.3	55.1459	7.413	50.9222	32.0	490992.0	23.0	160.0	59.9186	4.4483	134.9168	351.9948	318.0	172560.0	157.0	655.0	166.3977	26.1582	72.6475	268.2264	250.0	48649.0	156.0	431.0	108.2711
sub-NDARBT607PZL_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0517	0.0318	0.0324	0.007	1.4449	0.6154	0.6231	0.0	0.0	283.3611	201.64	64.0	1.3364	128	99.2248062015504	0.7881	31.1346	11.3122	1.6508	4.02	4.5	4.5	1.99	1.13	118.59	753.66	779.54	782.65	226.3468	5.9304	20.3938	6.0	519535.0	1.0	75.0	59.0954	9.7993	75.6127	209.662	181.0	259217.0	80.0	441.0	121.9127	29.799	47.4433	156.9297	150.0	128281.0	70.0	263.0	68.8315
sub-NDARBZ913ZB9_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0888	0.0229	0.0195	0.0009	4.9593	2.8105	1.9958	0.0	0.0	-0.0024	0.0189	0.0648	1.789	126	97.67441860465117	0.6933	127.5038	65.5682	43.58	4.63	5.61	5.61	2.65	1.6	96.25	292.98	549.72	597.02	80.4422	40.0303	219.8187	150.0	486895.0	106.0	535.0	277.3539	3.334	621.2103	1402.6266	1255.0	291857.0	514.0	2787.0	733.156	2.8609	584.1453	1308.4014	1180.0	169031.0	481.0	2549.0	661.1813
sub-NDARCG037CX4_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0548	0.0196	0.0182	0.0016	2.01	0.5807	0.5835	0.0	0.0	230.12	361.0	105.0625	1.7592	128	99.2248062015504	0.7356	47.4433	11.3917	1.3206	2.58	2.89	2.89	1.31	0.91	125.69	708.11	713.29	866.5	93.255	4.4478	17.7909	5.0	541850.0	1.0	42.0	75.0342	4.9693	97.8517	245.9843	219.0	236902.0	99.0	500.0	128.8533	10.1638	75.6127	202.3452	185.0	123891.0	93.0	363.0	92.2143
sub-NDARCP642KML_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1353	0.032	0.019	0.0025	5.7309	2.9483	2.1257	0.0	0.0	-0.0071	0.0	0.0618	2.9584	128	99.2248062015504	0.6198	179.3949	66.4369	45.5609	3.89	6.66	6.66	2.12	1.29	120.82	662.56	825.09	828.52	57.2687	63.7519	296.6662	171.0	488716.0	113.0	869.0	410.6929	12.54	582.6627	1355.1152	1160.0	290036.0	475.0	2849.0	845.3973	27.7503	333.5855	948.8974	885.0	97012.0	412.0	1662.0	440.3892
sub-NDARCU891YET_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0124	0.0056	0.005	0.0005	4.6723	2.6493	1.9156	0.0	0.0	-0.0023	0.0308	0.0618	0.6853	126	97.67441860465117	0.832	139.3646	67.3701	43.745	4.2	5.96	5.96	2.49	1.56	79.48	290.9	396.5	478.05	98.4326	35.5825	204.8088	147.0	507919.0	106.0	432.0	273.7484	3.2613	679.0318	1528.6234	1391.0	270833.0	556.0	2942.0	770.488	2.3214	299.4856	985.8033	939.0	67098.0	513.0	1647.0	349.706
sub-NDARCV944JA6_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0746	0.0219	0.0146	0.0012	2.8306	0.6146	0.5901	0.0	0.0	21.16	462.25	150.0625	2.5743	128	99.2248062015504	0.4523	38.5477	11.454	1.3206	4.02	4.72	4.72	2.22	1.22	79.9	489.67	367.51	609.2	234.5185	4.4478	12.1875	5.0	529259.0	1.0	46.0	31.5431	9.0744	85.9909	251.9353	230.0	249493.0	117.0	469.0	117.5557	12.6674	60.7867	205.1515	192.0	110549.0	105.0	346.0	81.6979
sub-NDARDF373ZDW_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1789	0.0466	0.031	0.0062	1.8598	0.6374	0.5794	0.0	0.0	203.56	390.0625	132.25	5.8218	128	99.2248062015504	0.3841	26.6868	11.7737	1.3206	4.87	4.95	4.95	2.77	1.48	76.45	462.76	414.1	538.97	263.5979	4.4478	12.8198	5.0	534355.0	1.0	53.0	31.9704	7.5925	102.2996	244.0332	217.0	244397.0	83.0	482.0	136.7186	6.1592	100.817	239.5462	215.0	223985.0	85.0	463.0	127.1137
