------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 14:38:57 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc-hbn/mriqc-work/config-20240417-143813_c66192a6-c6ec-4dfa-86ce-3d10173c7add.toml.
2024-04-17 14:39:02 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-04-17 14:39:44 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 17 NIfTI files..
2024-04-17 14:39:44 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-04-17 14:46:30 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-04-17 14:46:35 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-04-17 14:46:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6ba49d0332b472f8b6847172c3e0dee764d96411/load_bmat".
2024-04-17 14:46:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6ba49d0332b472f8b6847172c3e0dee764d96411/provenance".
2024-04-17 14:46:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6ba49d0332b472f8b6847172c3e0dee764d96411/sanitize".
2024-04-17 14:46:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6ba49d0332b472f8b6847172c3e0dee764d96411/metadata".
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.075074s.
2024-04-17 14:46:36 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.135721s.
2024-04-17 14:46:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6f458d633a6e6ee1d89f92f4d26577cf4032973a/load_bmat".
2024-04-17 14:46:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6f458d633a6e6ee1d89f92f4d26577cf4032973a/sanitize".
2024-04-17 14:46:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6f458d633a6e6ee1d89f92f4d26577cf4032973a/provenance".
2024-04-17 14:46:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6f458d633a6e6ee1d89f92f4d26577cf4032973a/metadata".
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.011425s.
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.046116s.
2024-04-17 14:46:38 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.19134s.
2024-04-17 14:46:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/9c6ac3adf9418133db479cfc9e569189b1e283ae/load_bmat".
2024-04-17 14:46:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/9c6ac3adf9418133db479cfc9e569189b1e283ae/sanitize".
2024-04-17 14:46:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/9c6ac3adf9418133db479cfc9e569189b1e283ae/provenance".
2024-04-17 14:46:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/9c6ac3adf9418133db479cfc9e569189b1e283ae/metadata".
2024-04-17 14:46:40 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 3.42363s.
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.012251s.
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.133599s.
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5d38941b090253e270da27489425deabefaea66e/load_bmat".
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5d38941b090253e270da27489425deabefaea66e/sanitize".
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/5d38941b090253e270da27489425deabefaea66e/provenance".
