------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 18:54:34 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc-hbn/mriqc-work/config-20240417-185231_9b30b313-2eec-4ddc-a3dd-708d6c7f06a1.toml.
2024-04-17 18:54:54 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-04-17 18:59:29 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 21 NIfTI files..
2024-04-17 18:59:31 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-04-17 19:10:58 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-04-17 19:11:16 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-04-17 19:11:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/a5903a08c7dbbb5165cfd3f949f58a5671777849/sanitize".
2024-04-17 19:11:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/a5903a08c7dbbb5165cfd3f949f58a5671777849/load_bmat".
2024-04-17 19:11:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/a5903a08c7dbbb5165cfd3f949f58a5671777849/provenance".
2024-04-17 19:11:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/a5903a08c7dbbb5165cfd3f949f58a5671777849/metadata".
2024-04-17 19:11:19 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:19 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:19 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.019219s.
2024-04-17 19:11:20 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:20 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:20 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.233485s.
2024-04-17 19:11:20 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.601672s.
2024-04-17 19:11:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5dfc8e715fdebef75fbdeffcaa70e1e47d319553/load_bmat".
2024-04-17 19:11:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5dfc8e715fdebef75fbdeffcaa70e1e47d319553/sanitize".
2024-04-17 19:11:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/5dfc8e715fdebef75fbdeffcaa70e1e47d319553/provenance".
