------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 05:25:32 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc-hbn/mriqc-work/config-20240418-052444_cf4c7700-4748-4b57-b933-bfe9c3fafb2a.toml.
2024-04-18 05:25:49 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-04-18 05:29:20 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 22 NIfTI files..
2024-04-18 05:29:22 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-04-18 05:40:06 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-04-18 05:40:22 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-04-18 05:40:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/15c4196c31e0d18e247f6f8c9a8d9e57cb3d1936/load_bmat".
2024-04-18 05:40:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/15c4196c31e0d18e247f6f8c9a8d9e57cb3d1936/provenance".
2024-04-18 05:40:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/15c4196c31e0d18e247f6f8c9a8d9e57cb3d1936/sanitize".
2024-04-18 05:40:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/15c4196c31e0d18e247f6f8c9a8d9e57cb3d1936/metadata".
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.169866s.
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.08476s.
2024-04-18 05:40:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/a25df9c572742c7eed4e7bfa0438cb3ae8810556/sanitize".
